"id","species","browsed","CYP1A.grouse.micr","CYP1A.human.micr","SB02","SB03","SB05","SB07","SB09","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","SB22","SB23","SB24","SB26","SB28","SB29","SB30","SB31","SB32","SB34","SB36","SB37","SB38","SB39","SB40","SB41","SB42","SB43","SB44","SB45","SB45s","SB46","SB47","SB48"
105,"3T","NB",NA,NA,0,629.0214,565.9454,0,0,1510.4727,618.771,1389.2164,719.0859,370.6543,0,10076.7607,0,0,26818.2695,55521.9453,7762.168,7988.4839,0,29838.7188,0,0,0,0,0,0,0,0,0,0,0,70267,109853,0,60935.4844,0,0,5583.6436,4029.3308,76519.9531
134,"3T","B",NA,NA,418.1162,787.7897,649.8425,0,1825.2238,0,749.166,1629.1661,815.1082,495.5262,0,13573.2109,1406.0669,0,29028.8086,68483.6172,9038.9131,9783.4648,0,30501.248,10599.9941,7101.1265,8305.4375,0,4244.3535,0,2289.9968,13235.8281,3617.5981,5641.7358,5766.0068,67198.1641,127896.1953,71841,66638,17905.2949,0,4631.6084,7263.7798,86716.2656
154,"3T","NB",137.2,64.3,403.1469,654.3164,565.2982,0,0,1808.9718,650.8421,1560.4817,1266.7593,0,0,12916.5439,0,0,37969.625,66222.9063,8011.7461,8014.4585,0,25759.1133,6783.7651,6627.3301,6373.1509,0,4767.6724,0,3078.7361,15643.3252,4111.6934,5938.3247,16812.998,59342.9688,93693.2891,69981,64628,18887.168,0,5405.4609,4248.9082,67234.1875
182,"3T","NB",123.5,62.9,558.8956,1044.3494,0,0,2590.5896,0,1161.7732,1744.6504,902.3607,0,0,10598.6465,1635.7129,0,32982.4492,67699.6094,8178.4282,6533.0039,0,27824.5664,12031.1016,6346.0317,9447.5293,0,5135.9614,0,2169.135,0,6862.9229,6174.9268,23795.5098,14001.8252,20861.5059,131440,147611,20330.752,0,4810.313,8282.6865,80970.1953
222,"3T","NB",161,74.1,254.2615,431.4813,445.952,0,0,1078.6837,447.019,895.7186,594.2125,0,0,16864.1113,0,0,23013.9629,47683.0664,5734.8984,7296.0229,0,12866.5811,3783.5571,4826.48,5690.6787,0,3626.8799,0,0,11667.3271,3201.4373,5310.5337,8928.7598,21563.6914,44012.0664,20978.5234,34732.0234,0,7606.2046,0,11376.9541,25991.2012
238,"3T","B",132.4,72.9,0,668.8263,0,0,0,854.496,332.0903,652.6357,99.0683,0,0,22382.9492,0,0,25243.5742,68834.5234,9652.1006,6982.5195,0,42749.8828,0,4809.9346,6726.3398,4758.5894,0,0,2101.1497,0,3842.6035,4641.5171,15705.3867,51669.1563,90192.8828,63978.7422,88519.2266,24585.3418,0,5925.3257,3597.3262,88216.6875
239,"3T","B",110.3,61.9,0,625.5148,619.961,0,0,1610.0868,503.0815,1646.3282,798.3879,418.4804,0,17896.2578,0,0,31138.5469,91026.9766,8015.2964,8059.2617,0,41283.2148,0,4673.4751,8026.3262,0,5479.3833,0,1632.4333,20277.0977,3715.137,9623.4102,17907.1406,49737.1328,82864.5859,75353,88122,20991.7324,0,6188.9727,3636.4941,74036.1484
295,"3T","B",95.3,74.3,0,683.5701,0,813.2856,0,890.8253,652.5752,1301.7782,1307.0913,0,0,9682.3662,0,0,27522.1563,58901.1523,6776.4131,6067.436,0,19152.5078,12138.5039,5215.7593,6708.3013,4511.8828,0,0,0,0,6671.1846,3696.7727,6446.8809,39361.3867,57909.082,55868.5117,85394.4844,19865.2188,0,5486.2813,5881.8013,68749.1094
297,"3T","NB",117.5,73.2,178.4452,681.9681,0,832.6315,0,1006.8149,497.1185,1591.4244,739.8329,0,394.4421,16616.5898,0,0,27504.8809,93344.6953,10205.415,9389.9717,0,31797.5039,9728.0674,6630.2666,0,0,0,0,3096.3914,0,3039.7966,8115.3838,14934.3672,91058.9297,138332.1406,41764,39867,16928.0039,0,9023.1377,2291.6897,80590.6563
64,"3T","NB",134.8,64.4,592.9158,942.6026,662.2151,437.6029,0,1733.0544,1098.4429,1877.0308,1008.0887,626.491,0,27128.168,517.5583,12266.6885,55850.7031,90798.8203,11253.4814,7669.2642,0,30062.4238,8819.3076,7424.9097,7854.3042,0,4915.6997,0,0,25388.4863,4771.5874,5670.415,5975.3564,40971.6445,63521.9414,90495,87817,20883.5117,0,5613.1528,4689.4087,79509.5078
68,"3T","NB",93,83,0,1130.4432,0,1017.4896,1171.8917,0,1181.0626,1515.9108,810.2715,349.8463,0,19760.3535,0,10713.3926,37561.0977,73064.1797,8779.498,2316.2888,8427.6836,0,29733.0059,0,0,12810.8027,0,6922.2686,2640.553,0,4474.1816,5103.6318,5446.813,47476.9766,86835.5469,62904.4609,103281.3125,24139.3711,0,6551.9507,3845.0247,99796.2813
70,"3T","B",149.2,74.1,523.2463,980.8495,733.3068,458.5807,0,1780.2336,941.6193,1584.0992,1002.0135,575.6089,0,21401.4434,0,0,54744.5117,83573.1875,12668.0088,13452.6143,0,42700.9023,10762.749,9489.2002,14196.2334,0,0,9373.5967,2481.4258,0,5042.5264,7657.2793,16834.3379,94942,145634,37093,35431,0,18068.0801,5993.731,4542.3247,119452.8984
85,"3T","B",163.7,67.4,0,908.3568,611.1274,0,1758.1493,0,872.2451,1361.2446,775.4514,503.9489,0,8479.3486,1066.3469,6902.4565,41200.9961,53966.5,7886.9023,5035.0698,0,25539.7617,11255.7871,5879.9863,14045.1494,0,0,0,0,0,6451.6152,3886.8818,20179.5566,7246.7104,0,133080,91641,17362.5488,0,4347.7549,4610.769,60884.4492
95,"3T","NB",NA,NA,0,940.5929,747.246,0,0,2116.4355,990.6757,1639.2949,892.5834,407.3741,0,17790.9883,0,0,38694.4375,80546.875,10429.8564,13004.4238,0,26627.791,9263.4033,8277.7256,7763.6797,0,5237.7749,0,2308.8162,13914.5176,3987.0247,6165.9902,6327.8413,74602.4609,144102.8281,56608.1016,71824.3047,24679.0508,0,5466.8486,4496.8882,85698.3672
